file_id,corpus,data_type,label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
RTJ_01,RTJ,joint,RTJ L Run The Jewels,-12.299945,2.3744075,15.600682,-7.469993,2.4177556,-2.0465698,3.6014688,-2.3212357,7.0145087,-10.466757
RTJ_02,RTJ,joint,RTJ L Banana Clipper,-21.788954,5.4920764,5.548969,4.1267123,4.688176,-10.303925,0.94286966,-5.403659,-4.822814,3.2513232
RTJ_03,RTJ,joint,RTJ L 36 Inch Chain,-21.52246,-8.324012,9.059154,-1.0477155,-3.5631733,16.835037,2.6695547,-7.329597,-7.458785,5.439543
RTJ_04,RTJ,joint,RTJ L DDHF,-13.597728,12.763444,12.133367,7.5068226,-6.4371853,-5.3562865,-11.416379,6.473394,-5.3809185,-2.9607034
RTJ_05,RTJ,joint,RTJ L Sea Legs,-16.506468,7.048186,7.6628747,-1.1577665,-1.4430199,-3.1891155,0.24330452,2.0922444,-0.37785706,5.680653
RTJ_06,RTJ,joint,RTJ L Job Well Done,-26.491446,-2.6266522,-9.735087,2.9828212,1.6576058,-3.8779712,2.2388625,-4.6926327,3.4622135,-2.2665007
RTJ_07,RTJ,joint,RTJ L No Come Down,-21.586525,-3.170216,-8.668697,-5.451174,-4.0316277,9.688554,-1.3124101,17.067406,-0.5922986,-3.0520449
RTJ_08,RTJ,joint,RTJ L Get It,-26.936655,-0.8968418,-8.577367,7.055983,2.483537,-7.465343,-0.73107016,-2.3826618,-2.3190897,-2.5748758
RTJ_09,RTJ,joint,RTJ L Twin Hype Back,-24.241419,-4.572398,-11.534241,0.56663257,0.82751644,4.4110494,3.4456093,-6.736961,7.2790747,-0.096735194
RTJ_10,RTJ,joint,RTJ L A Christmas Fucking Miracle,-13.885515,3.2519782,-0.14583118,-11.920503,-5.6457024,-0.31608436,-1.2231172,4.426851,7.535851,7.77789
GD_01,GD,joint,GD L Minglewood Blues,20.761335,5.4928455,-3.6162705,2.605086,-3.4004135,1.1414114,5.4417458,3.3537247,5.2562323,-2.6986594
GD_02,GD,joint,GD L They Love Each Other,17.90803,-7.4500704,7.53536,-8.919472,-2.7855358,2.2296057,7.948074,-1.3987727,-11.277894,-7.341354
GD_03,GD,joint,GD L Cassidy,23.284946,4.8223367,2.4179025,4.613817,1.134005,-6.2436213,13.749452,4.810267,3.1831334,-1.6001805
GD_04,GD,joint,GD L Loser,24.96134,4.9545884,3.984694,-4.7451987,-1.1244806,1.4203432,1.967288,-2.9128506,3.0948203,10.186356
GD_05,GD,joint,GD L Jack Straw,24.789074,12.310774,2.079966,4.433735,-0.10343214,-0.8818991,-2.9789097,0.00785761,1.0992028,5.660501
GD_06,GD,joint,GD L Tennessee Jed,16.71044,-41.756363,4.0180173,9.496692,-4.616559,-6.612466,-3.82328,2.9387429,2.1512172,2.7087834
GD_07,GD,joint,GD L Passenger,9.500822,0.100245416,-1.1463889,6.6162686,27.683842,7.761583,-1.5530232,5.30449,-2.6351156,1.3676167
GD_08,GD,joint,GD L Peggy-O,17.08464,5.8542113,-20.82381,-3.7830434,-6.457314,-5.1856422,1.421144,-1.2281955,-11.1740055,1.0738698
GD_09,GD,joint,GD L Me & My Uncle,22.781849,9.0841255,-2.36556,14.0711775,-8.485928,11.79277,-7.417401,-6.825224,4.3171554,-6.3034797
GD_10,GD,joint,GD L Friend of the Devil,21.074635,-4.7526455,-3.4277694,-19.580923,7.20193,-3.8014407,-13.213793,-5.2432156,1.6453723,-3.7852473
